Name,Title,Place publication,Publisher,Date of publication
"Orwell, George",Animal farm : GCSE 9-1 set text student edition,London,Collins,2021
"Christin, Pierre",Orwell,London,SelfMadeHero,2021
"Orwell, George",A clergyman's daughter,London,Arcturus Digital,2021
"Orwell, George",1984,London,Arcturus Digital,2021
"Orwell, George",Animal farm,London,Arcturus Digital,2021
"Orwell, George",Keep the aspidistra flying,London,Arcturus Digital,2021
"Orwell, George",Burmese days,London,Arcturus Digital,2021
"Shaw, Dom",Eric is awake,,Anonymous Press,2013
"Glover, Dennis",The last man in Europe : a novel,"Carlton, Victoria",Black,2017
"Bissell, Norman",Barnhill,Edinburgh,Luath Press,2019
"Bissell, Norman",Barnhill : a novel,Edinburgh,Luath Press,2020
"Glover, Dennis",The last man in Europe,Edinburgh,Polygon,2020
"Glover, Dennis",The last man in Europe : a novel,Edinburgh,Polygon,2020
"Chapman, Jake",1984.1,Falmouth,Urbanomic,2020
"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984
"Orwell, George",Essays,London,Penguin,2014
"Orwell, George",George Orwell : essays,London,Penguin,2014
"Orwell, George",Shooting an elephant,London,Penguin,2021
"Orwell, George",England your England,London,Pushkin,2021
"Orwell, George",Why I write,London,Renard Press,2021
"Orwell, George",The prevention of literature,London,Renard Press,2021
"Orwell, George",Shooting an elephant,London,Penguin,2021
"Orwell, George",Selected essays,Oxford,Oxford University Press,2021
"Orwell, George",England your England,London,Pushkin,2021
"Orwell, George",Inside the whale : on writers and writing,London,Pushkin,2021
"Orwell, George",Down and out in Paris and London : The road to Wigan Pier,Ware,Wordsworth,2021
"Orwell, George",Why I write,London,Renard Press,2021
"Orwell, George",The prevention of literature,London,Renard Press,2021
"Orwell, George",Politics and the English language,London,Penguin,2013
"Orwell, George",Diaries,London,Harvill Secker,2020
"Orwell, George",All propaganda is lies : 1941-1942,London,Secker,2015
"Orwell, George","I have tried to tell the truth, 1943-1944",London,Secker,2015
"Orwell, George",Orwell on truth,London,Harvill Secker,2017
"Orwell, George",Orwell on truth,London,Vintage Digital,2017
"Orwell, George",George Orwell visions of dystopia,London,Flame Tree Collections,2021
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Harvill Secker,2014
"Orwell, George",I belong to the left : 1945,London,Secker,2015
"Orwell, George",A kind of compulsion : 1903-1936,London,Secker,2015
"Orwell, George","Facing unpleasant facts, 1937-1939",London,Secker,2015
"Stewart, Anthony","George Orwell, doubleness and the value of decency",London,Routledge,2015
"Woloch, Alex",Or Orwell : writing and democratic socialism,"Cambridge, Massachusetts",Harvard University,2016
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016
"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984
"Bounds, Philip",Orwell and Marxism : the political and cultural thinking of George Orwell,London,I.B. Tauris,2016
"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2017
"Williams, Ian",Political and cultural perceptions of George Orwell : British and American views,Basingstoke,Palgrave Macmillan,2017
"Orwell, George",A life in letters,London,Penguin,2011
"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018
